timestamp,asset_name,attribute_name,attribute_value
0,Box Erector,Alarm_State,NORMAL
0,Box Erector,Alarm_Text, 
0,Box Erector,Bad,0
0,Box Erector,Blocked,False
0,Box Erector,Down,False
0,Box Erector,Good,0
0,Box Erector,Starved,False
0,Box Erector,State,Running
0,Box Erector,Total,1
0,Box Sealer,Alarm_State,NORMAL
0,Box Sealer,Alarm_Text, 
0,Box Sealer,Bad,0
0,Box Sealer,Blocked,False
0,Box Sealer,Down,False
0,Box Sealer,Good,0
0,Box Sealer,Starved,True
0,Box Sealer,State,Starved
0,Box Sealer,Total,0
0,Conveyor Left Turn,Total,0
0,Conveyor Right Turn,Total,0
0,Cookie Former,Alarm_State,NORMAL
0,Cookie Former,Alarm_Text, 
0,Cookie Former,Bad,0
0,Cookie Former,Blocked,False
0,Cookie Former,Down,False
0,Cookie Former,Good,25
0,Cookie Former,Moisture,59.41
0,Cookie Former,Starved,False
0,Cookie Former,State,Running
0,Cookie Former,Temperature,2.81
0,Cookie Former,Total,6
0,Cookie Inspector,Alarm_State,NORMAL
0,Cookie Inspector,Alarm_Text, 
0,Cookie Inspector,Bad,0
0,Cookie Inspector,Blocked,False
0,Cookie Inspector,Down,False
0,Cookie Inspector,Good,0
0,Cookie Inspector,Starved,True
0,Cookie Inspector,State,Starved
0,Cookie Inspector,Total,0
0,Freezer Tunnel,Alarm_State,NORMAL
0,Freezer Tunnel,Alarm_Text, 
0,Freezer Tunnel,Bad,0
0,Freezer Tunnel,Blocked,False
0,Freezer Tunnel,Down,False
0,Freezer Tunnel,Good,0
0,Freezer Tunnel,Speed,0.0
0,Freezer Tunnel,Starved,True
0,Freezer Tunnel,State,Starved
0,Freezer Tunnel,Temperature,-22.07
0,Freezer Tunnel,Total,0
0,Labeller,Alarm_State,NORMAL
0,Labeller,Alarm_Text, 
0,Labeller,Bad,0
0,Labeller,Blocked,False
0,Labeller,Down,False
0,Labeller,Good,0
0,Labeller,Starved,True
0,Labeller,State,Starved
0,Labeller,Total,0
0,Line 1,Shift,1
0,Liner Inserter,Alarm_State,NORMAL
0,Liner Inserter,Alarm_Text, 
0,Liner Inserter,Bad,0
0,Liner Inserter,Blocked,False
0,Liner Inserter,Down,False
0,Liner Inserter,Good,0
0,Liner Inserter,Starved,True
0,Liner Inserter,State,Starved
0,Liner Inserter,Total,0
0,Vertical Conveyor,Alarm_State,NORMAL
0,Vertical Conveyor,Alarm_Text, 
0,Vertical Conveyor,Bad,0
0,Vertical Conveyor,Blocked,False
0,Vertical Conveyor,Down,False
0,Vertical Conveyor,Good,0
0,Vertical Conveyor,Starved,True
0,Vertical Conveyor,State,Starved
0,Vertical Conveyor,Total,0
5,Box Erector,Alarm_State,NORMAL
5,Box Erector,Alarm_Text, 
5,Box Erector,Bad,0
5,Box Erector,Blocked,False
5,Box Erector,Down,False
5,Box Erector,Good,0
